WARNING: $PATH does not agree with $PATH_modshare counter. The following directories' usage counters were adjusted to match. Note that this may mean that module unloading may not work correctly.
 /opt/slurm/bin /hpc/eb/compilerwrappers/linkers /sw/arch/Debian10/EB_production/2020/software/Miniconda3/4.7.12.1 /sw/arch/Debian10/EB_production/2020/software/Miniconda3/4.7.12.1/bin /opt/slurm/sbin /hpc/eb/compilerwrappers/compilers
L_rec: 63.41156005859375, L_reg: 28.54827308654785, bpd: 0.1692219376564026
L_rec: 58.91957092285156, L_reg: 28.638439178466797, bpd: 0.16112181544303894
L_rec: 60.59376907348633, L_reg: 29.626379013061523, bpd: 0.16602060198783875
L_rec: 62.14908981323242, L_reg: 28.117067337036133, bpd: 0.1661052703857422
L_rec: 64.04580688476562, L_reg: 28.551925659179688, bpd: 0.17039576172828674
L_rec: 63.07801818847656, L_reg: 28.75177574157715, bpd: 0.1689826399087906
epoch = 7, loss = 0.17403062172234057
L_rec: 63.88697052001953, L_reg: 29.184038162231445, bpd: 0.17126668989658356
L_rec: 58.63982391357422, L_reg: 28.880340576171875, bpd: 0.1610521674156189
L_rec: 57.56004333496094, L_reg: 29.802818298339844, bpd: 0.1607627123594284
L_rec: 58.41682052612305, L_reg: 28.909984588623047, bpd: 0.1606963574886322
L_rec: 59.51401138305664, L_reg: 28.754709243774414, bpd: 0.16242963075637817
L_rec: 59.35780334472656, L_reg: 28.32378387451172, bpd: 0.16134920716285706
L_rec: 61.56378936767578, L_reg: 29.14339828491211, bpd: 0.1669168472290039
epoch = 8, loss = 0.172588325291872
L_rec: 61.524322509765625, L_reg: 28.67681121826172, bpd: 0.1659856140613556
L_rec: 62.251522064208984, L_reg: 29.302146911621094, bpd: 0.16847451031208038
L_rec: 62.52439880371094, L_reg: 28.3780574798584, bpd: 0.16727617383003235
L_rec: 60.70027160644531, L_reg: 29.063064575195312, bpd: 0.1651799976825714
L_rec: 59.7847900390625, L_reg: 29.084293365478516, bpd: 0.16353441774845123
L_rec: 58.23486328125, L_reg: 29.923208236694336, bpd: 0.16222603619098663
L_rec: 62.363704681396484, L_reg: 29.940505981445312, bpd: 0.16985562443733215
epoch = 9, loss = 0.1707644581794739
L_rec: 61.42821502685547, L_reg: 29.347549438476562, bpd: 0.1670430600643158
L_rec: 62.659149169921875, L_reg: 28.252073287963867, bpd: 0.1672922968864441
L_rec: 60.21794128417969, L_reg: 28.366518020629883, bpd: 0.16301065683364868
L_rec: 58.96373748779297, L_reg: 29.32602310180664, bpd: 0.16246835887432098
L_rec: 60.5699462890625, L_reg: 30.378128051757812, bpd: 0.1673601120710373
L_rec: 66.68620300292969, L_reg: 29.694679260253906, bpd: 0.17735743522644043
L_rec: 56.66757583618164, L_reg: 29.532081604003906, bpd: 0.15862220525741577
epoch = 10, loss = 0.1698888398706913
L_rec: 56.302703857421875, L_reg: 28.89617919921875, bpd: 0.15678061544895172
L_rec: 59.219322204589844, L_reg: 29.69423484802246, bpd: 0.16361625492572784
L_rec: 60.45762634277344, L_reg: 29.527042388916016, bpd: 0.16558727622032166
L_rec: 60.162845611572266, L_reg: 29.823389053344727, bpd: 0.16559016704559326
L_rec: 59.8447380065918, L_reg: 29.00264549255371, bpd: 0.16349448263645172
L_rec: 55.23124694824219, L_reg: 29.798477172851562, bpd: 0.15646933019161224
L_rec: 59.221763610839844, L_reg: 29.543773651123047, bpd: 0.1633438766002655
epoch = 11, loss = 0.16924920491874218
L_rec: 57.99089813232422, L_reg: 29.8143310546875, bpd: 0.1615767478942871
L_rec: 56.29227066040039, L_reg: 29.707021713256836, bpd: 0.1582535058259964
L_rec: 56.329593658447266, L_reg: 29.173669815063477, bpd: 0.15734073519706726
L_rec: 56.75189208984375, L_reg: 30.832935333251953, bpd: 0.16117116808891296
L_rec: 53.952232360839844, L_reg: 29.31376838684082, bpd: 0.15322378277778625
L_rec: 55.42144012451172, L_reg: 29.696521759033203, bpd: 0.1566317081451416
L_rec: 55.85863494873047, L_reg: 29.392349243164062, bpd: 0.15687650442123413
epoch = 12, loss = 0.16872676312923432
L_rec: 54.54480743408203, L_reg: 29.427852630615234, bpd: 0.15452414751052856
L_rec: 55.78270721435547, L_reg: 29.897119522094727, bpd: 0.15766564011573792
L_rec: 55.38916778564453, L_reg: 29.900978088378906, bpd: 0.15694855153560638
L_rec: 56.93547821044922, L_reg: 29.666467666625977, bpd: 0.15936249494552612
L_rec: 55.00578308105469, L_reg: 30.278173446655273, bpd: 0.1569371521472931
L_rec: 59.53449249267578, L_reg: 28.919540405273438, bpd: 0.16277065873146057
L_rec: 55.669036865234375, L_reg: 29.041175842285156, bpd: 0.1558813750743866
epoch = 13, loss = 0.1680268943309784
L_rec: 57.2548713684082, L_reg: 29.213415145874023, bpd: 0.15911653637886047
L_rec: 56.80043411254883, L_reg: 29.292564392089844, bpd: 0.1584259569644928
L_rec: 59.375762939453125, L_reg: 29.211671829223633, bpd: 0.16301614046096802
L_rec: 57.28318786621094, L_reg: 29.025802612304688, bpd: 0.1588234156370163
L_rec: 52.250953674316406, L_reg: 29.077056884765625, bpd: 0.14965753257274628
L_rec: 57.420677185058594, L_reg: 30.425636291503906, bpd: 0.1616523414850235
L_rec: 56.72331237792969, L_reg: 29.32000160217285, bpd: 0.15833449363708496
epoch = 14, loss = 0.16751112341880797
L_rec: 53.387229919433594, L_reg: 29.371158599853516, bpd: 0.15228968858718872
L_rec: 53.44409942626953, L_reg: 29.214412689208984, bpd: 0.1521058976650238
L_rec: 57.319793701171875, L_reg: 29.189443588256836, bpd: 0.15919189155101776
L_rec: 54.71339416503906, L_reg: 29.904930114746094, bpd: 0.15571229159832
L_rec: 56.930152893066406, L_reg: 29.643733978271484, bpd: 0.15931084752082825
L_rec: 57.66844940185547, L_reg: 29.507158279418945, bpd: 0.16041813790798187
L_rec: 56.755191802978516, L_reg: 29.430437088012695, bpd: 0.15859639644622803
epoch = 15, loss = 0.16653186604380607
L_rec: 54.292884826660156, L_reg: 29.308406829833984, bpd: 0.1538407802581787
L_rec: 59.65930938720703, L_reg: 31.06073760986328, bpd: 0.16694051027297974
L_rec: 53.65966796875, L_reg: 30.308805465698242, bpd: 0.15451645851135254
L_rec: 56.455013275146484, L_reg: 29.52531623840332, bpd: 0.1582186222076416
L_rec: 57.55669403076172, L_reg: 31.290939331054688, bpd: 0.16349494457244873
L_rec: 57.72659683227539, L_reg: 29.32558822631836, bpd: 0.16019101440906525
L_rec: 57.10421371459961, L_reg: 30.355167388916016, bpd: 0.16094031929969788
epoch = 16, loss = 0.16632651276886462
L_rec: 58.461673736572266, L_reg: 30.198959350585938, bpd: 0.1631508320569992
L_rec: 54.94017028808594, L_reg: 30.546585083007812, bpd: 0.157310351729393
L_rec: 56.44538116455078, L_reg: 30.40384292602539, bpd: 0.15981751680374146
L_rec: 57.915771484375, L_reg: 30.18461799621582, bpd: 0.16211989521980286
L_rec: 54.954925537109375, L_reg: 30.436885833740234, bpd: 0.15713563561439514
L_rec: 56.683807373046875, L_reg: 29.52157974243164, bpd: 0.15863275527954102
L_rec: 56.18648147583008, L_reg: 30.523818969726562, bpd: 0.159561887383461
epoch = 17, loss = 0.16596585102379321
L_rec: 53.43754577636719, L_reg: 28.885475158691406, bpd: 0.1514885425567627
L_rec: 54.88357162475586, L_reg: 29.39217185974121, bpd: 0.1550818830728531
L_rec: 54.46162414550781, L_reg: 30.46941375732422, bpd: 0.15628772974014282
L_rec: 54.607704162597656, L_reg: 30.83382797241211, bpd: 0.15722712874412537
L_rec: 56.170135498046875, L_reg: 30.649127960205078, bpd: 0.1597623974084854
L_rec: 56.006103515625, L_reg: 30.14910125732422, bpd: 0.15854041278362274
L_rec: 55.68838119506836, L_reg: 29.931455612182617, bpd: 0.1575552374124527
epoch = 18, loss = 0.1655167005956173
L_rec: 53.04974365234375, L_reg: 30.71417236328125, bpd: 0.15414002537727356
L_rec: 52.616355895996094, L_reg: 29.95496368408203, bpd: 0.15194544196128845
L_rec: 54.11692810058594, L_reg: 29.369407653808594, bpd: 0.15362924337387085
L_rec: 52.05702209472656, L_reg: 30.773191452026367, bpd: 0.15242184698581696
L_rec: 55.950347900390625, L_reg: 30.187456130981445, bpd: 0.15850839018821716
L_rec: 52.01598358154297, L_reg: 29.66925811767578, bpd: 0.15031491219997406
L_rec: 55.879432678222656, L_reg: 29.706897735595703, bpd: 0.15749359130859375
epoch = 19, loss = 0.1652702998369932
L_rec: 54.90034866333008, L_reg: 30.86797523498535, bpd: 0.15782848000526428
L_rec: 52.50633239746094, L_reg: 29.679222106933594, bpd: 0.15123558044433594
L_rec: 54.12702178955078, L_reg: 30.01900863647461, bpd: 0.15484318137168884
L_rec: 53.63746643066406, L_reg: 30.08945083618164, bpd: 0.15407195687294006
L_rec: 53.72747802734375, L_reg: 30.019390106201172, bpd: 0.1541086584329605
L_rec: 56.05400085449219, L_reg: 30.740192413330078, bpd: 0.15971626341342926
L_rec: 56.136268615722656, L_reg: 29.783893585205078, bpd: 0.1581079065799713
epoch = 20, loss = 0.16480106189846994
L_rec: 53.20012664794922, L_reg: 30.66206169128418, bpd: 0.1543208658695221
L_rec: 53.985694885253906, L_reg: 30.65945053100586, bpd: 0.15576164424419403
L_rec: 53.797210693359375, L_reg: 30.578929901123047, bpd: 0.15526661276817322
L_rec: 53.61247634887695, L_reg: 30.35438346862793, bpd: 0.15451347827911377
L_rec: 55.221031188964844, L_reg: 31.128036499023438, bpd: 0.15889714658260345
L_rec: 53.879085540771484, L_reg: 30.457805633544922, bpd: 0.15519440174102783
L_rec: 54.109619140625, L_reg: 30.228221893310547, bpd: 0.1551961451768875
epoch = 21, loss = 0.16540558598935604
L_rec: 53.840667724609375, L_reg: 30.409835815429688, bpd: 0.15503543615341187
L_rec: 53.52713394165039, L_reg: 30.960689544677734, bpd: 0.15547214448451996
L_rec: 52.996089935302734, L_reg: 30.71603775024414, bpd: 0.1540447175502777
L_rec: 51.81556701660156, L_reg: 29.693546295166016, bpd: 0.14999079704284668
L_rec: 52.68693923950195, L_reg: 29.83064842224121, bpd: 0.15184655785560608
L_rec: 51.971466064453125, L_reg: 30.889318466186523, bpd: 0.15247811377048492
L_rec: 52.58075714111328, L_reg: 29.985692977905273, bpd: 0.15193647146224976
epoch = 22, loss = 0.16411341913044453
L_rec: 50.525306701660156, L_reg: 29.827747344970703, bpd: 0.1478634476661682
L_rec: 47.889007568359375, L_reg: 28.724775314331055, bpd: 0.14098256826400757
L_rec: 55.531105041503906, L_reg: 30.65247344970703, bpd: 0.1585926115512848
L_rec: 53.604469299316406, L_reg: 30.442007064819336, bpd: 0.15465998649597168
L_rec: 57.70120620727539, L_reg: 30.405353546142578, bpd: 0.16213123500347137
L_rec: 51.56590270996094, L_reg: 30.150230407714844, bpd: 0.1503717601299286
L_rec: 52.66565704345703, L_reg: 30.278099060058594, bpd: 0.1526307761669159
epoch = 23, loss = 0.16477525569498538
L_rec: 53.891361236572266, L_reg: 30.486377716064453, bpd: 0.1552695631980896
L_rec: 55.118167877197266, L_reg: 29.676563262939453, bpd: 0.15603691339492798
L_rec: 51.565650939941406, L_reg: 30.335376739501953, bpd: 0.15071198344230652
L_rec: 53.50831604003906, L_reg: 31.872133255004883, bpd: 0.15711474418640137
L_rec: 51.933311462402344, L_reg: 31.274633407592773, bpd: 0.15311694145202637
L_rec: 51.455291748046875, L_reg: 30.044408798217773, bpd: 0.14997348189353943
L_rec: 51.131797790527344, L_reg: 30.713272094726562, bpd: 0.15060903131961823
epoch = 24, loss = 0.1638188071548939
L_rec: 49.951332092285156, L_reg: 31.471101760864258, bpd: 0.14983130991458893
L_rec: 53.161102294921875, L_reg: 30.437108993530273, bpd: 0.15383510291576385
L_rec: 49.212242126464844, L_reg: 30.39224624633789, bpd: 0.14648595452308655
L_rec: 50.225242614746094, L_reg: 30.767765045166016, bpd: 0.149041086435318
L_rec: 55.741336822509766, L_reg: 30.162818908691406, bpd: 0.15807844698429108
L_rec: 51.512718200683594, L_reg: 29.796295166015625, bpd: 0.1496225744485855
L_rec: 52.96751403808594, L_reg: 30.500886917114258, bpd: 0.15359623730182648
epoch = 25, loss = 0.16364813782274723
L_rec: 50.644500732421875, L_reg: 30.910873413085938, bpd: 0.15007594227790833
L_rec: 52.31947326660156, L_reg: 30.44924545288086, bpd: 0.15230870246887207
L_rec: 48.83310317993164, L_reg: 29.30885887145996, bpd: 0.14379467070102692
L_rec: 53.60432434082031, L_reg: 30.780406951904297, bpd: 0.15528243780136108
L_rec: 52.268798828125, L_reg: 30.355342864990234, bpd: 0.15204265713691711
L_rec: 52.71662902832031, L_reg: 30.983531951904297, bpd: 0.1540226936340332
L_rec: 55.93900680541992, L_reg: 31.299291610717773, bpd: 0.16053348779678345
epoch = 26, loss = 0.1634654089808464
L_rec: 53.573577880859375, L_reg: 30.216392517089844, bpd: 0.15418796241283417
L_rec: 50.544837951660156, L_reg: 31.03927230834961, bpd: 0.1501288115978241
L_rec: 50.96003723144531, L_reg: 30.336467742919922, bpd: 0.1495995670557022
L_rec: 50.97174835205078, L_reg: 30.495302200317383, bpd: 0.14991340041160583
L_rec: 53.46998977661133, L_reg: 31.07770538330078, bpd: 0.15558230876922607
L_rec: 54.44917297363281, L_reg: 30.827184677124023, bpd: 0.15692317485809326
L_rec: 56.4775390625, L_reg: 31.16019058227539, bpd: 0.16126853227615356
epoch = 27, loss = 0.1634543776512146
L_rec: 49.460121154785156, L_reg: 30.621442794799805, bpd: 0.14736387133598328
L_rec: 53.09064483642578, L_reg: 30.804309844970703, bpd: 0.1543811559677124
L_rec: 58.012062072753906, L_reg: 31.80253028869629, bpd: 0.16527430713176727
L_rec: 49.217647552490234, L_reg: 31.0172061920166, bpd: 0.1476459503173828
L_rec: 51.096824645996094, L_reg: 31.097576141357422, bpd: 0.15125185251235962
L_rec: 55.81739044189453, L_reg: 29.908750534057617, bpd: 0.15775085985660553
L_rec: 48.29481887817383, L_reg: 30.238662719726562, bpd: 0.14451512694358826
epoch = 28, loss = 0.16375549808144568
L_rec: 52.51246643066406, L_reg: 31.053871154785156, bpd: 0.15377646684646606
L_rec: 50.102989196777344, L_reg: 29.762691497802734, bpd: 0.1469666063785553
L_rec: 52.15847396850586, L_reg: 31.555795669555664, bpd: 0.15404866635799408
L_rec: 52.69580078125, L_reg: 30.813488006591797, bpd: 0.1536714732646942
L_rec: 54.68372344970703, L_reg: 30.237651824951172, bpd: 0.15626993775367737
L_rec: 51.17970275878906, L_reg: 30.80319595336914, bpd: 0.1508626639842987
L_rec: 52.1339111328125, L_reg: 30.608966827392578, bpd: 0.1522611379623413
epoch = 29, loss = 0.16292763091623783
L_rec: 55.98716354370117, L_reg: 31.362091064453125, bpd: 0.16073766350746155
L_rec: 54.19344711303711, L_reg: 30.99494743347168, bpd: 0.1567613035440445
L_rec: 52.633541107177734, L_reg: 30.331132888793945, bpd: 0.1526692807674408
L_rec: 50.487159729003906, L_reg: 31.232147216796875, bpd: 0.15037760138511658
L_rec: 47.58580780029297, L_reg: 29.648059844970703, bpd: 0.14212360978126526
L_rec: 52.7918815612793, L_reg: 30.57635498046875, bpd: 0.1534118950366974
L_rec: 51.9689826965332, L_reg: 30.626554489135742, bpd: 0.15199001133441925
epoch = 30, loss = 0.1630912497639656
L_rec: 54.392974853515625, L_reg: 32.157745361328125, bpd: 0.15926823019981384
L_rec: 49.35541534423828, L_reg: 30.676664352416992, bpd: 0.14727279543876648
L_rec: 48.80276870727539, L_reg: 30.757110595703125, bpd: 0.14640387892723083
L_rec: 50.879783630371094, L_reg: 30.256027221679688, bpd: 0.1493038684129715
L_rec: 52.602943420410156, L_reg: 29.928483963012695, bpd: 0.15187203884124756
L_rec: 52.737648010253906, L_reg: 31.043615341186523, bpd: 0.15417195856571198
L_rec: 51.985931396484375, L_reg: 30.180557250976562, bpd: 0.15120047330856323
epoch = 31, loss = 0.16264754645526408
L_rec: 53.598548889160156, L_reg: 31.463335037231445, bpd: 0.156528502702713
L_rec: 52.171119689941406, L_reg: 30.3382625579834, bpd: 0.1518314629793167
L_rec: 49.24522399902344, L_reg: 30.195171356201172, bpd: 0.1461840122938156
L_rec: 50.2314453125, L_reg: 30.6275691986084, bpd: 0.1487945169210434
L_rec: 48.80348205566406, L_reg: 30.031734466552734, bpd: 0.1450703740119934
L_rec: 51.39872360229492, L_reg: 30.342294692993164, bpd: 0.15041755139827728
L_rec: 53.15271759033203, L_reg: 30.814971923828125, bpd: 0.15451499819755554
epoch = 32, loss = 0.16335003040730953
L_rec: 49.904014587402344, L_reg: 30.857654571533203, bpd: 0.14861537516117096
L_rec: 50.250099182128906, L_reg: 31.46451187133789, bpd: 0.15036895871162415
L_rec: 51.399139404296875, L_reg: 29.977672576904297, bpd: 0.1497473418712616
L_rec: 53.560646057128906, L_reg: 31.126575469970703, bpd: 0.15583905577659607
L_rec: 52.450889587402344, L_reg: 31.00831413269043, bpd: 0.15357929468154907
L_rec: 52.003658294677734, L_reg: 31.36530113220215, bpd: 0.15341323614120483
L_rec: 52.88871765136719, L_reg: 32.17853546142578, bpd: 0.15653839707374573
epoch = 33, loss = 0.16263384707272052
L_rec: 49.334327697753906, L_reg: 30.971446990966797, bpd: 0.14777645468711853
L_rec: 51.201881408691406, L_reg: 30.826520919799805, bpd: 0.15094637870788574
L_rec: 47.8570556640625, L_reg: 30.540016174316406, bpd: 0.1442641168832779
L_rec: 51.21626281738281, L_reg: 31.595985412597656, bpd: 0.152388796210289
L_rec: 53.62773895263672, L_reg: 30.75353240966797, bpd: 0.15527606010437012
L_rec: 51.140289306640625, L_reg: 29.991138458251953, bpd: 0.14929580688476562
L_rec: 48.01417541503906, L_reg: 30.192262649536133, bpd: 0.14391331374645233
epoch = 34, loss = 0.16256103701889515
L_rec: 48.49580764770508, L_reg: 30.72208595275879, bpd: 0.14577457308769226
L_rec: 50.98113250732422, L_reg: 30.354236602783203, bpd: 0.14967109262943268
L_rec: 51.233585357666016, L_reg: 30.441619873046875, bpd: 0.1502964347600937
L_rec: 53.052642822265625, L_reg: 30.396055221557617, bpd: 0.15355998277664185
L_rec: 48.392425537109375, L_reg: 29.6737117767334, bpd: 0.14365515112876892
L_rec: 50.29772186279297, L_reg: 29.42351531982422, bpd: 0.14670079946517944
L_rec: 46.83400344848633, L_reg: 29.21636962890625, bpd: 0.13994577527046204
epoch = 35, loss = 0.16217793188989163
L_rec: 50.694854736328125, L_reg: 31.436527252197266, bpd: 0.1511358916759491
L_rec: 53.957542419433594, L_reg: 31.152088165283203, bpd: 0.15661637485027313
L_rec: 49.854129791259766, L_reg: 31.68671989440918, bpd: 0.15004920959472656
L_rec: 48.05962371826172, L_reg: 29.701099395751953, bpd: 0.14309310913085938
L_rec: 48.31640625, L_reg: 30.516067504882812, bpd: 0.1450653225183487
L_rec: 52.32636260986328, L_reg: 31.049087524414062, bpd: 0.1534251868724823
L_rec: 48.3548469543457, L_reg: 30.439556121826172, bpd: 0.14499527215957642
epoch = 36, loss = 0.16210728846490383
L_rec: 49.78125, L_reg: 32.170799255371094, bpd: 0.15080587565898895
L_rec: 50.778228759765625, L_reg: 31.02935218811035, bpd: 0.15054002404212952
L_rec: 52.11744689941406, L_reg: 30.86166000366211, bpd: 0.15269584953784943
L_rec: 47.98888397216797, L_reg: 30.689502716064453, bpd: 0.14478179812431335
L_rec: 47.83340072631836, L_reg: 30.064088821411133, bpd: 0.14334478974342346
L_rec: 49.88508605957031, L_reg: 30.314393997192383, bpd: 0.14758086204528809
L_rec: 52.60968780517578, L_reg: 30.818115234375, bpd: 0.15352153778076172
epoch = 37, loss = 0.1623589426279068
L_rec: 51.20887756347656, L_reg: 30.60767364501953, bpd: 0.1505565345287323
L_rec: 52.8712043762207, L_reg: 31.405975341796875, bpd: 0.1550845205783844
L_rec: 51.105690002441406, L_reg: 30.356170654296875, bpd: 0.14990384876728058
L_rec: 47.20477294921875, L_reg: 30.18796157836914, bpd: 0.14241597056388855
L_rec: 50.882164001464844, L_reg: 31.952117919921875, bpd: 0.15242932736873627
L_rec: 50.19110107421875, L_reg: 31.3331241607666, bpd: 0.1500186175107956
L_rec: 52.99913787841797, L_reg: 31.51209259033203, bpd: 0.15551522374153137
epoch = 38, loss = 0.16185777001082896
L_rec: 51.67897033691406, L_reg: 31.53691864013672, bpd: 0.15313155949115753
L_rec: 50.57863235473633, L_reg: 30.57627296447754, bpd: 0.1493389904499054
L_rec: 49.41734313964844, L_reg: 30.295066833496094, bpd: 0.14668455719947815
L_rec: 51.91413879394531, L_reg: 30.996288299560547, bpd: 0.1525694578886032
L_rec: 50.781612396240234, L_reg: 31.4252986907959, bpd: 0.1512748748064041
L_rec: 50.173973083496094, L_reg: 30.547273635864258, bpd: 0.14854098856449127
L_rec: 53.01689147949219, L_reg: 30.969959259033203, bpd: 0.15455026924610138
epoch = 39, loss = 0.16188502945005895
L_rec: 50.612083435058594, L_reg: 31.25275421142578, bpd: 0.1506453901529312
L_rec: 52.31748962402344, L_reg: 31.02814292907715, bpd: 0.15337032079696655
L_rec: 51.046607971191406, L_reg: 31.52566146850586, bpd: 0.15194720029830933
L_rec: 47.500709533691406, L_reg: 30.43207359313965, bpd: 0.14340972900390625
L_rec: 52.59437561035156, L_reg: 31.674480438232422, bpd: 0.15506920218467712
L_rec: 50.61042785644531, L_reg: 31.840225219726562, bpd: 0.15172339975833893
L_rec: 47.280120849609375, L_reg: 30.758821487426758, bpd: 0.1436050832271576
epoch = 40, loss = 0.16163014508783818
L_rec: 53.902099609375, L_reg: 31.21428680419922, bpd: 0.15662881731987
L_rec: 50.636688232421875, L_reg: 31.332387924194336, bpd: 0.15083721280097961
L_rec: 48.81756591796875, L_reg: 31.99140739440918, bpd: 0.14870242774486542
L_rec: 53.954498291015625, L_reg: 30.22929573059082, bpd: 0.15491268038749695
L_rec: 52.053985595703125, L_reg: 31.531536102294922, bpd: 0.1538117527961731
L_rec: 50.11061477661133, L_reg: 31.310134887695312, bpd: 0.1498282104730606
L_rec: 49.24114990234375, L_reg: 30.515609741210938, bpd: 0.14676617085933685
epoch = 41, loss = 0.16202690005302428
L_rec: 48.789466857910156, L_reg: 30.235759735107422, bpd: 0.14542001485824585
L_rec: 51.801063537597656, L_reg: 31.540935516357422, bpd: 0.15336361527442932
L_rec: 49.261505126953125, L_reg: 30.323787689208984, bpd: 0.14645063877105713
L_rec: 48.41917037963867, L_reg: 31.324661254882812, bpd: 0.14674237370491028
L_rec: 49.78076171875, L_reg: 30.41232681274414, bpd: 0.14756909012794495
L_rec: 49.8587646484375, L_reg: 31.43602752685547, bpd: 0.1495964229106903
L_rec: 50.98824691772461, L_reg: 30.542678833007812, bpd: 0.1500309407711029
epoch = 42, loss = 0.16193485595285892
L_rec: 49.83757019042969, L_reg: 30.645435333251953, bpd: 0.14810258150100708
L_rec: 49.953914642333984, L_reg: 31.070068359375, bpd: 0.14909806847572327
L_rec: 51.89169692993164, L_reg: 31.521696090698242, bpd: 0.15349501371383667
L_rec: 50.59380340576172, L_reg: 29.744022369384766, bpd: 0.14783541858196259
L_rec: 54.56071853637695, L_reg: 31.62989044189453, bpd: 0.15860557556152344
L_rec: 50.133216857910156, L_reg: 30.75589370727539, bpd: 0.14884987473487854
L_rec: 51.11740493774414, L_reg: 30.79140853881836, bpd: 0.1507263332605362
epoch = 43, loss = 0.1616893880069256
L_rec: 45.78846740722656, L_reg: 31.584400177001953, bpd: 0.14237940311431885
